date,region,product,sales,units_sold,customer_churn
2024-02-15,West,Gadget X,478.23,21,No
2024-02-16,West,Widget A,1011.18,27,No
2024-02-17,East,Gadget X,,20,Yes
2024-02-18,South,Widget B,1546.71,23,No
2024-02-19,South,Widget C,1120.23,17,No
2024-02-20,East,Widget A,1588.58,14,Yes
2024-02-21,South,Gadget X,687.97,20,No
2024-02-22,East,Widget A,592.99,23,No
2024-02-23,West,Gadget X,5446.68,22,Yes
2024-02-24,East,Widget A,1223.22,23,No
2024-02-25,West,Gadget X,,16,No
2024-02-26,West,Gadget X,491.77,34,Yes
2024-02-27,North,Widget B,1087.26,22,No
2024-02-28,East,Gadget X,724.66,16,No
2024-02-29,North,Widget B,1318.9,26,No
2024-03-01,East,Gadget X,1229.98,16,Yes
2024-03-02,East,Widget C,840.04,13,Yes
2024-03-03,North,Widget C,969.84,19,No
2024-03-04,North,Widget C,808.24,23,No
2024-03-05,East,Gadget X,1109.2,21,No
2024-03-06,South,Widget B,,21,No
2024-03-07,West,Widget B,836.28,16,No
2024-03-08,North,Gadget X,1285.21,23,Yes
2024-03-09,West,Widget C,976.92,17,No
2024-03-10,South,Widget C,900.14,22,No
2024-03-11,South,Widget B,1107.89,12,No
2024-03-12,South,Widget C,831.43,18,No
2024-03-13,North,Widget A,977.91,16,No
2024-03-14,South,Widget B,,12,No
2024-03-15,North,Widget C,1737.42,19,No
2024-03-16,South,Widget B,1160.58,27,No
2024-03-17,West,Widget A,942.08,24,No
2024-03-18,West,Widget B,1218.19,27,No
2024-03-19,East,Widget B,1122.3,26,No
2024-03-20,West,Widget B,1091.71,15,Yes
2024-03-21,East,Widget B,6721.25,18,No
2024-03-22,West,Widget A,1389.25,18,Yes
2024-03-23,North,Gadget X,1004.85,19,No
2024-03-24,West,Widget B,993.25,20,No
2024-03-25,East,Widget B,5427.42,19,No
2024-03-26,East,Widget C,479.42,32,No
2024-03-27,South,Widget B,717.44,25,Yes
2024-03-28,North,Widget C,1584.06,22,No
2024-03-29,West,Gadget X,1669.49,22,No
2024-03-30,South,Widget A,1103.29,22,No
2024-03-31,West,Widget A,1352.97,16,No
2024-04-01,West,Gadget X,1275.38,12,No
2024-04-02,South,Widget A,2107.66,10,No
2024-04-03,South,Gadget X,1521.87,17,Yes
2024-04-04,South,Gadget X,1149.62,12,Yes
2024-04-05,South,Gadget X,903.34,23,No
2024-04-06,South,Widget A,710.07,26,No
2024-04-07,West,Widget C,1255.04,22,No
2024-04-08,South,Gadget X,969.09,25,No
2024-04-09,North,Widget B,771.32,19,No
2024-04-10,East,Widget A,1006.03,24,No
2024-04-11,South,Gadget X,877.54,22,Yes
2024-04-12,South,Gadget X,1710.14,16,No
2024-04-13,West,Widget B,1470.49,23,No
2024-04-14,South,Widget C,1205.61,19,No
2024-04-15,South,Widget C,1653.98,18,No
2024-04-16,South,Widget C,1235.21,19,No
2024-04-17,West,Gadget X,955.61,22,No
2024-04-18,South,Gadget X,1672.94,14,No
2024-04-19,East,Gadget X,1379.67,17,No
2024-04-20,West,Widget A,908.83,17,No
2024-04-21,East,Widget B,1164.9,26,No
2024-04-22,West,Gadget X,961.31,27,No
2024-04-23,South,Widget B,811.16,20,No
2024-04-24,East,Widget B,1505.85,20,No
2024-04-25,West,Widget C,1802.82,20,No
2024-04-26,North,Widget A,812.43,20,No
2024-04-27,South,Gadget X,1402.89,20,No
2024-04-28,West,Widget C,1040.81,25,Yes
2024-04-29,North,Widget C,1091.86,19,No
2024-04-30,West,Gadget X,1062.28,16,No
2024-05-01,North,Widget B,982.8,9,No
2024-05-02,South,Widget C,1258.56,25,No
2024-05-03,East,Widget B,996.71,25,No
2024-05-04,North,Widget A,1329.14,26,No
2024-05-05,West,Widget B,1234.93,28,Yes
2024-05-06,South,Widget A,1180.32,18,Yes
2024-05-07,North,Widget B,981.73,26,No
2024-05-08,West,Widget C,1082.97,17,No
2024-05-09,West,Widget C,1484.62,17,No
2024-05-10,West,Widget A,1410.28,30,No
2024-05-11,North,Gadget X,968.73,26,No
2024-05-12,North,Widget A,1293.8,16,No
2024-05-13,North,Widget A,1491.42,24,Yes
2024-05-14,East,Widget B,767.18,13,No
2024-05-15,North,Widget B,1433.01,21,No
2024-05-16,North,Widget A,1073.21,19,No
2024-05-17,North,Widget C,1445.18,23,Yes
2024-05-18,East,Widget B,1047.02,22,No
2024-05-19,North,Gadget X,736.54,26,No
2024-05-20,West,Widget B,791.74,20,No
2024-05-21,North,Widget B,1296.43,14,Yes
2024-05-22,West,Gadget X,1361.92,15,No
2024-05-23,West,Widget A,1014.71,23,No
2024-05-24,West,Gadget X,1479.58,25,No
2024-05-25,East,Widget A,791.54,20,No
2024-05-26,East,Widget A,1272.18,12,Yes
2024-05-27,East,Widget A,930.7,27,No
2024-05-28,North,Gadget X,1100.45,16,Yes
2024-05-29,West,Widget A,1312.22,25,No
2024-05-30,East,Widget C,1041.88,18,No
2024-05-31,East,Gadget X,,19,No
2024-06-01,North,Widget C,1605.89,20,No
2024-06-02,East,Widget A,1132.93,21,Yes
2024-06-03,North,Widget B,1558.71,18,No
2024-06-04,South,Widget A,971.09,21,No
2024-06-05,East,Widget C,1470.94,20,No
2024-06-06,South,Widget C,1746.47,15,No
2024-06-07,North,Gadget X,574.51,30,No
2024-06-08,West,Widget B,1078.93,20,Yes
2024-06-09,East,Gadget X,,24,Yes
2024-06-10,North,Widget C,1261.09,20,Yes
2024-06-11,West,Widget A,1435.34,21,No
2024-06-12,West,Widget B,,13,No
2024-06-13,South,Widget A,,34,No
2024-06-14,North,Widget A,1283.3,14,No
2024-06-15,West,Widget B,1682.33,19,No
2024-06-16,East,Gadget X,1410.33,17,No
2024-06-17,East,Widget A,1437.28,20,No
2024-06-18,South,Widget C,1214.44,25,No
2024-06-19,West,Widget A,,18,No
2024-06-20,North,Widget B,6061.16,21,No
2024-06-21,East,Widget B,1462.34,21,Yes
2024-06-22,West,Widget B,1219.7,20,No
2024-06-23,West,Gadget X,1434.93,15,No
2024-06-24,South,Widget A,1972.62,25,No
2024-06-25,East,Gadget X,1613.34,25,No
2024-06-26,East,Gadget X,1256.19,15,No
2024-06-27,North,Widget B,1716.36,22,No
2024-06-28,East,Widget B,1235.58,25,No
2024-06-29,North,Gadget X,748.56,15,No
2024-06-30,East,Widget A,1059.57,25,No
2024-07-01,South,Widget C,802.76,24,No
2024-07-02,East,Gadget X,1260.55,17,No
2024-07-03,North,Widget A,1373.53,24,Yes
2024-07-04,North,Widget B,1872.93,23,No
2024-07-05,South,Widget B,1470.08,25,No
2024-07-06,East,Widget A,1308.27,27,No
2024-07-07,East,Widget C,1624.82,21,Yes
2024-07-08,South,Widget B,714.66,18,Yes
2024-07-09,East,Widget B,1450.68,21,No
2024-07-10,East,Widget B,1613.26,22,No
2024-07-11,North,Widget A,940.42,30,No
2024-07-12,East,Gadget X,1729.13,13,No
2024-07-13,East,Widget B,1489.55,20,No
2024-07-14,South,Gadget X,1265.41,20,No
2024-07-15,South,Widget C,1581.83,21,No
2024-07-16,West,Widget B,2075.21,21,No
2024-07-17,North,Widget B,1450.56,18,Yes
2024-07-18,East,Widget C,1472.47,27,No
2024-07-19,East,Widget B,1262.19,19,No
2024-07-20,West,Gadget X,1147.05,21,No
2024-07-21,East,Widget A,1653.1,11,No
2024-07-22,North,Gadget X,1149.17,22,No
2024-07-23,West,Widget A,1429.47,16,No
2024-07-24,North,Widget A,1266.7,16,Yes
2024-07-25,West,Gadget X,1555.69,34,No
2024-07-26,West,Gadget X,1514.1,23,No
2024-07-27,South,Gadget X,1727.26,28,No
2024-07-28,North,Gadget X,1265.0,26,Yes
2024-07-29,East,Widget C,,22,No
2024-07-30,East,Widget B,1128.37,25,Yes
2024-07-31,North,Widget A,1290.71,23,No
2024-08-01,East,Gadget X,1539.19,13,No
2024-08-02,East,Gadget X,1655.1,22,No
2024-08-03,North,Gadget X,1153.35,26,No
2024-08-04,West,Widget C,,13,No
2024-08-05,North,Gadget X,1840.69,23,Yes
2024-08-06,West,Gadget X,1560.03,23,Yes
2024-08-07,East,Gadget X,2001.04,17,No
2024-08-08,East,Widget B,1207.86,22,No
2024-08-09,East,Widget C,1068.6,23,No
2024-08-10,South,Gadget X,910.38,22,No
2024-08-11,West,Widget A,1894.81,25,Yes
2024-08-12,South,Widget A,1644.31,20,No
2024-08-13,South,Widget A,1433.32,23,No
2024-08-14,North,Widget C,1535.99,16,No
2024-08-15,South,Widget C,1116.35,19,No
2024-08-16,North,Widget A,2189.73,15,No
2024-08-17,North,Gadget X,1496.77,25,No
2024-08-18,South,Widget C,1492.82,16,Yes
2024-08-19,West,Widget A,1679.73,16,Yes
2024-08-20,West,Widget A,1608.3,24,No
2024-08-21,West,Gadget X,1533.17,19,No
2024-08-22,West,Widget B,1230.86,21,Yes
2024-08-23,West,Widget C,1611.44,20,No
2024-08-24,South,Gadget X,2036.61,16,No
2024-08-25,South,Widget A,1877.63,17,No
2024-08-26,East,Widget A,1953.96,23,No
2024-08-27,West,Gadget X,1324.64,15,No
2024-08-28,South,Widget C,1183.12,17,No
2024-08-29,East,Widget B,1444.26,13,Yes
2024-08-30,West,Widget B,1500.72,24,No
2024-08-31,North,Widget A,1814.26,21,No
2024-09-01,East,Widget C,980.26,21,No
2024-09-02,South,Widget B,9744.33,18,No
2024-09-03,North,Widget C,1444.6,25,No
2024-09-04,North,Widget C,1365.94,21,No
2024-09-05,North,Widget A,1192.37,21,No
2024-09-06,East,Widget B,5007.71,29,No
2024-09-07,South,Gadget X,1746.95,18,No
2024-09-08,North,Widget A,1524.0,22,Yes
2024-09-09,West,Widget B,1117.01,28,No
2024-09-10,North,Widget B,1117.48,22,No
2024-09-11,North,Widget B,7036.32,15,No
2024-09-12,East,Widget B,2010.71,14,Yes
2024-09-13,East,Widget B,1434.12,29,No
2024-09-14,South,Widget C,1063.06,20,No
2024-09-15,West,Widget A,1442.28,20,No
2024-09-16,East,Widget C,1436.18,26,No
2024-09-17,North,Gadget X,710.93,13,Yes
2024-09-18,South,Widget B,1505.71,24,No
2024-09-19,North,Widget A,7273.6,26,No
2024-09-20,North,Widget B,1734.86,21,No
2024-09-21,East,Widget A,2082.69,23,No
2024-09-22,South,Widget C,9339.85,26,Yes
2024-09-23,West,Widget A,1451.33,22,Yes
2024-09-24,West,Gadget X,1202.04,24,Yes
2024-09-25,East,Gadget X,2308.01,19,No
2024-09-26,East,Widget A,1555.77,14,No
2024-09-27,South,Widget A,1544.18,35,No
2024-09-28,West,Widget A,1534.76,22,No
2024-09-29,West,Widget A,1603.43,21,No
2024-09-30,West,Gadget X,1502.69,21,Yes
2024-10-01,North,Widget B,,23,Yes
2024-10-02,West,Widget A,6929.71,27,No
2024-10-03,North,Widget A,1542.17,18,No
2024-10-04,South,Gadget X,1390.97,17,No
2024-10-05,North,Gadget X,1342.15,26,No
2024-10-06,South,Widget C,,19,No
2024-10-07,West,Widget A,1483.51,19,No
2024-10-08,West,Widget C,2013.2,16,No
2024-10-09,South,Gadget X,768.71,26,No
2024-10-10,East,Gadget X,1893.45,12,Yes
2024-10-11,South,Widget B,1941.83,18,Yes
2024-10-12,East,Widget A,947.98,19,No
2024-10-13,North,Widget C,1469.19,18,No
2024-10-14,North,Gadget X,1462.57,16,No
2024-10-15,North,Gadget X,1153.75,21,Yes
2024-10-16,West,Widget C,1344.65,22,No
2024-10-17,North,Widget B,6234.14,26,No
2024-10-18,East,Gadget X,2107.68,21,No
2024-10-19,North,Widget A,1864.7,21,No
2024-10-20,South,Gadget X,1967.47,16,No
2024-10-21,South,Widget A,1804.5,27,No
2024-10-22,West,Widget C,1251.28,29,No
2024-10-23,South,Widget A,1434.64,20,No
2024-10-24,East,Widget C,1740.81,22,No
2024-10-25,North,Widget A,1229.36,20,No
2024-10-26,West,Widget C,1811.9,22,No
2024-10-27,North,Widget A,,24,No
2024-10-28,North,Widget B,1489.55,23,Yes
2024-10-29,East,Widget A,1817.29,17,No
2024-10-30,South,Widget A,1739.28,27,No
2024-10-31,South,Widget B,1499.71,22,Yes
2024-11-01,North,Gadget X,1957.8,30,Yes
2024-11-02,West,Gadget X,1287.68,23,No
2024-11-03,South,Widget A,1798.78,20,No
2024-11-04,West,Widget B,1793.93,17,No
2024-11-05,South,Widget A,1525.14,18,Yes
2024-11-06,West,Widget C,1717.84,28,Yes
2024-11-07,East,Widget C,1246.67,21,No
2024-11-08,West,Widget A,1901.21,19,No
2024-11-09,East,Gadget X,1570.53,26,No
2024-11-10,East,Gadget X,1471.18,27,No
2024-11-11,West,Widget A,,20,No
2024-11-12,East,Widget A,1420.7,22,No
2024-11-13,North,Widget C,1211.46,22,No
2024-11-14,East,Gadget X,1169.01,19,No
2024-11-15,South,Widget A,1819.8,20,No
2024-11-16,West,Widget C,,19,No
2024-11-17,North,Gadget X,2168.44,15,No
2024-11-18,West,Widget B,1019.42,25,Yes
2024-11-19,South,Widget C,2154.94,18,No
2024-11-20,South,Gadget X,1711.31,19,Yes
2024-11-21,South,Gadget X,1620.99,25,No
2024-11-22,East,Widget C,1488.52,17,No
2024-11-23,East,Widget B,1773.74,19,No
2024-11-24,West,Widget C,1644.71,25,No
2024-11-25,West,Gadget X,9944.95,18,No
2024-11-26,North,Widget A,1694.27,24,No
2024-11-27,North,Widget A,1707.09,24,Yes
2024-11-28,West,Widget C,1554.92,20,No
2024-11-29,East,Gadget X,1648.92,16,No
2024-11-30,South,Widget A,1760.34,19,Yes
2024-12-01,West,Gadget X,1156.95,30,No
2024-12-02,North,Widget C,1267.54,20,No
2024-12-03,East,Widget A,1896.98,22,No
2024-12-04,West,Gadget X,1727.26,7,No
2024-12-05,West,Widget A,1622.8,19,Yes
2024-12-06,East,Widget C,1685.53,18,No
2024-12-07,West,Gadget X,1786.27,19,Yes
2024-12-08,East,Widget A,1522.07,35,No
2024-12-09,South,Widget C,1452.51,25,No
2024-12-10,East,Widget A,1746.75,14,No
2024-12-11,East,Widget A,1396.49,16,No
2024-12-12,East,Widget B,1814.48,23,Yes
2024-12-13,West,Widget B,1183.22,19,Yes
2024-12-14,West,Widget C,2004.75,25,Yes
2024-12-15,East,Widget B,1839.78,19,No
2024-12-16,West,Widget C,1776.81,25,Yes
2024-12-17,North,Widget B,1996.81,26,No
2024-12-18,North,Widget A,2203.64,16,No
2024-12-19,West,Widget C,2010.31,17,No
2024-12-20,West,Widget C,1155.74,18,Yes
2024-12-21,East,Widget A,1326.13,26,No
2024-12-22,South,Widget C,1524.55,13,No
2024-12-23,West,Widget C,1721.83,24,No
2024-12-24,North,Widget B,1871.3,25,No
2024-12-25,East,Widget C,1500.28,19,Yes
2024-12-26,West,Gadget X,1776.03,18,No
2024-12-27,North,Widget A,1495.39,20,No
2024-12-28,North,Widget B,1540.54,11,No
2024-12-29,South,Widget B,1304.0,23,No
2024-12-30,East,Gadget X,1451.03,16,No
2024-12-31,East,Widget A,,19,No
2025-01-01,South,Widget A,1439.24,10,No
2025-01-02,South,Widget B,2050.09,17,No
2025-01-03,East,Widget C,1451.18,22,No
2025-01-04,East,Widget B,2527.71,24,No
2025-01-05,West,Widget A,1888.0,16,No
2025-01-06,West,Gadget X,1797.45,14,Yes
2025-01-07,South,Widget B,1486.49,16,Yes
2025-01-08,West,Widget A,1956.09,20,No
2025-01-09,North,Widget B,1575.31,18,No
2025-01-10,West,Widget C,1786.6,24,No
2025-01-11,West,Widget B,2520.03,17,No
2025-01-12,North,Widget B,1725.18,17,No
2025-01-13,South,Widget A,2100.78,20,Yes
2025-01-14,North,Widget A,1547.05,30,No
2025-01-15,West,Widget A,1749.5,14,Yes
2025-01-16,South,Widget B,2293.24,24,No
2025-01-17,West,Widget C,1575.91,19,No
2025-01-18,North,Gadget X,2309.73,15,Yes
2025-01-19,North,Gadget X,1980.33,24,No
2025-01-20,West,Widget A,1601.26,14,No
2025-01-21,East,Widget A,1961.72,18,No
2025-01-22,East,Widget B,,10,No
2025-01-23,North,Gadget X,1962.54,16,No
2025-01-24,North,Widget A,1306.93,15,Yes
2025-01-25,East,Widget C,1561.86,24,Yes
2025-01-26,East,Widget C,1707.74,19,Yes
2025-01-27,West,Widget A,1761.67,17,No
2025-01-28,West,Widget A,1972.2,20,No
2025-01-29,East,Gadget X,1841.31,27,No
2025-01-30,West,Gadget X,1389.4,24,Yes
2025-01-31,West,Widget B,1906.06,24,No
2025-02-01,South,Gadget X,1977.18,25,No
2025-02-02,West,Widget C,1963.94,21,No
2025-02-03,North,Widget C,2122.23,23,No
2025-02-04,West,Widget A,,20,No
2025-02-05,West,Gadget X,1939.75,17,Yes
2025-02-06,East,Widget B,1782.95,22,No
2025-02-07,North,Widget C,1307.71,25,No
2025-02-08,West,Widget C,1936.89,12,No
2025-02-09,West,Widget B,1872.31,16,No
2025-02-10,South,Widget B,1893.47,15,No
2025-02-11,West,Widget C,1430.98,18,No
2025-02-12,West,Widget C,1491.68,19,No
2025-02-13,South,Widget B,10669.73,19,No
2025-02-14,East,Widget C,1808.13,21,No
2025-02-15,West,Widget A,2026.45,18,No
2025-02-16,South,Widget A,1832.5,18,No
2025-02-17,North,Widget B,1834.93,12,No
2025-02-18,East,Gadget X,2109.49,24,No
2025-02-19,North,Widget B,1675.19,14,Yes
2025-02-20,North,Widget B,1860.84,24,No
2025-02-21,South,Gadget X,1695.32,36,No
2025-02-22,West,Gadget X,1705.65,21,No
2025-02-23,South,Gadget X,1745.25,21,No
2025-02-24,South,Widget A,1906.64,20,No
2025-02-25,South,Widget C,1698.38,21,No
2025-02-26,South,Widget A,2220.73,23,No
2025-02-27,East,Widget C,1577.62,21,Yes
2025-02-28,West,Widget A,1791.94,14,No
2025-03-01,North,Widget C,1718.08,12,No
2025-03-02,North,Widget A,2286.09,23,No
2025-03-03,West,Gadget X,1912.97,13,No
2025-03-04,North,Widget B,2165.55,22,Yes
2025-03-05,West,Widget A,7061.66,18,No
2025-03-06,North,Widget C,1940.12,19,Yes
2025-03-07,South,Gadget X,2128.89,21,Yes
2025-03-08,North,Widget A,1888.69,16,Yes
2025-03-09,West,Widget A,2185.64,15,Yes
2025-03-10,West,Gadget X,1712.81,19,Yes
2025-03-11,West,Widget A,2292.8,22,No
2025-03-12,West,Widget B,2561.67,18,No
2025-03-13,West,Widget A,1765.15,20,No
2025-03-14,East,Widget B,1742.35,16,No
2025-03-15,East,Widget B,2314.02,22,No
2025-03-16,North,Gadget X,2353.87,16,Yes
2025-03-17,West,Widget A,1725.14,20,No
2025-03-18,North,Gadget X,,18,No
2025-03-19,West,Widget A,1801.46,20,Yes
2025-03-20,West,Widget A,1484.66,21,No
2025-03-21,East,Widget C,1614.4,23,No
2025-03-22,East,Widget A,1590.76,22,No
2025-03-23,South,Gadget X,1663.66,27,Yes
2025-03-24,East,Widget B,1885.59,19,No
2025-03-25,South,Widget A,1968.26,21,No
2025-03-26,South,Widget C,2365.15,18,Yes
2025-03-27,South,Gadget X,1602.49,26,No
2025-03-28,South,Widget A,2199.3,20,No
2025-03-29,South,Gadget X,1841.8,24,No
2025-03-30,North,Widget C,1893.16,20,No
2025-03-31,East,Widget C,2112.45,24,No
2025-04-01,South,Gadget X,1575.18,16,No
2025-04-02,West,Widget A,2028.72,18,No
2025-04-03,East,Widget B,1965.94,27,Yes
2025-04-04,East,Widget C,2065.74,19,No
2025-04-05,South,Widget A,2006.75,22,No
2025-04-06,North,Widget A,2658.59,20,No
2025-04-07,South,Widget B,1732.68,19,Yes
2025-04-08,North,Widget C,1766.7,24,No
2025-04-09,West,Widget C,1741.06,16,No
2025-04-10,East,Widget A,1763.36,19,No
2025-04-11,West,Widget A,1740.78,17,No
2025-04-12,North,Widget B,2290.7,28,Yes
2025-04-13,North,Widget B,2362.15,20,No
2025-04-14,West,Widget C,1766.78,29,No
2025-04-15,North,Gadget X,1690.29,19,Yes
2025-04-16,West,Widget C,2083.42,19,No
2025-04-17,East,Widget A,1778.33,16,No
2025-04-18,West,Widget C,2135.88,25,No
2025-04-19,East,Gadget X,2008.88,22,No
2025-04-20,West,Widget B,1495.28,17,No
2025-04-21,North,Gadget X,2416.25,18,No
2025-04-22,West,Gadget X,2492.76,18,No
2025-04-23,North,Gadget X,1772.16,19,No
2025-04-24,West,Widget B,,17,Yes
2025-04-25,West,Gadget X,2045.76,19,No
2025-04-26,South,Gadget X,2062.34,18,No
2025-04-27,North,Gadget X,2161.56,19,No
2025-04-28,South,Widget A,2569.06,26,No
2025-04-29,North,Gadget X,1914.92,24,No
2025-04-30,South,Widget B,1730.51,20,No
2025-05-01,East,Gadget X,1558.2,19,Yes
2025-05-02,West,Gadget X,1754.72,26,No
2025-05-03,North,Widget B,1966.06,22,No
2025-05-04,North,Gadget X,2516.37,14,No
2025-05-05,West,Widget B,1824.72,17,No
2025-05-06,North,Gadget X,2049.14,16,No
2025-05-07,North,Widget B,1979.07,18,No
2025-05-08,South,Gadget X,2342.52,19,No
2025-05-09,North,Gadget X,2746.08,26,No
2025-05-10,East,Widget A,1830.74,19,No
2025-05-11,East,Widget A,1845.17,16,Yes
2025-05-12,West,Gadget X,2307.25,21,No
2025-05-13,North,Gadget X,2200.57,23,No
2025-05-14,West,Widget C,2552.01,28,No
2024-01-01,East,Widget C,1102.53,16,No
2024-01-02,West,Widget A,1564.85,19,No
2024-01-03,North,Widget A,1289.13,20,No
2024-01-04,East,Gadget X,832.93,17,Yes
2024-01-05,East,Widget C,738.48,17,No
2024-01-06,West,Widget A,1157.58,19,Yes
2024-01-07,North,Gadget X,615.93,17,No
2024-01-08,North,Widget C,1563.44,25,No
2024-01-09,East,Gadget X,1369.83,22,No
2024-01-10,South,Widget B,877.25,18,No
